,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
828,People's Archive of Rural India,https://en.wikipedia.org/wiki/People%27s_Archive_of_Rural_India,169,0,104,1,0,41,0,0,0.6153846154,0.005917159763,0.2426035503,0,0,0.6213017751,51356448,Allow all users (no expiry set),67140,18 August 2016,Alberun,180,0,2016-08-18,2016-08,2016
829,Sea ice,https://en.wikipedia.org/wiki/Sea_ice,28,9,2,1,0,5,0,1,0.07142857143,0.03571428571,0.1785714286,0.3214285714,0,0.4285714286,343225,Allow all users (no expiry set),35033,17 October 2003,Ed Poor,682,1,2003-10-17,2003-10,2003
830,Sanitary engineering,https://en.wikipedia.org/wiki/Sanitary_engineering,25,4,5,3,0,9,0,0,0.2,0.12,0.36,0.16,0,0.48,8416361,Allow all users (no expiry set),21932,13 December 2006,Boston,126,0,2006-12-13,2006-12,2006
831,Maharashtra floods of 2005,https://en.wikipedia.org/wiki/Maharashtra_floods_of_2005,4,1,0,1,0,2,0,0,0,0.25,0.5,0.25,0,0.5,2320150,Allow all users (no expiry set),14496,27 July 2005,Bhadani,661,4,2005-07-27,2005-07,2005
832,K. Madhava Sarma,https://en.wikipedia.org/wiki/K._Madhava_Sarma,45,4,17,2,0,5,0,0,0.3777777778,0.04444444444,0.1111111111,0.08888888889,0,0.5111111111,57846224,Allow all users (no expiry set),29115,7 July 2018,Shrutip2493,151,2,2018-07-07,2018-07,2018
833,Piping plover,https://en.wikipedia.org/wiki/Piping_plover,34,7,9,9,0,3,0,0,0.2647058824,0.2647058824,0.08823529412,0.2058823529,0,0.7352941176,276111,Allow all users (no expiry set),28395,24 July 2003,Big iron,748,11,2003-07-24,2003-07,2003
834,Urban resilience,https://en.wikipedia.org/wiki/Urban_resilience,69,31,12,4,2,10,0,0,0.1739130435,0.05797101449,0.1449275362,0.4492753623,0.02898550725,0.7101449275,31837770,Allow all users (no expiry set),54352,20 May 2011,Tappinator,184,0,2011-05-20,2011-05,2011
835,Political impact of Hurricane Sandy,https://en.wikipedia.org/wiki/Political_impact_of_Hurricane_Sandy,29,0,1,0,1,26,0,0,0.03448275862,0,0.8965517241,0,0.03448275862,0.06896551724,37547662,Allow all users (no expiry set),16375,5 November 2012,Medeis,122,0,2012-11-05,2012-11,2012
836,Louie Gohmert,https://en.wikipedia.org/wiki/Louie_Gohmert,142,0,17,23,0,91,0,2,0.1197183099,0.161971831,0.6408450704,0,0,0.2816901408,1131926,Allow all users (no expiry set),86866,4 November 2004,RadicalBender,1809,3,2004-11-04,2004-11,2004
837,Water supply and sanitation in the United States,https://en.wikipedia.org/wiki/Water_supply_and_sanitation_in_the_United_States,278,15,69,102,0,44,0,1,0.2482014388,0.3669064748,0.1582733813,0.05395683453,0,0.6690647482,8713214,Allow all users (no expiry set),169658,2 January 2007,Mschiffler,951,6,2007-01-02,2007-01,2007
838,Harold Lewis,https://en.wikipedia.org/wiki/Harold_Lewis,18,3,6,0,0,5,0,0,0.3333333333,0,0.2777777778,0.1666666667,0,0.5,29165060,Allow all users (no expiry set),10507,12 October 2010,Spamtramp,253,0,2010-10-12,2010-10,2010
839,Extraterritorial Obligations,https://en.wikipedia.org/wiki/Extraterritorial_Obligations,8,2,5,0,0,1,0,0,0.625,0,0.125,0.25,0,0.875,70713614,Allow all users (no expiry set),10692,6 May 2022,Eureca,4,4,2022-05-06,2022-05,2022
840,North American inland temperate rainforest,https://en.wikipedia.org/wiki/North_American_inland_temperate_rainforest,27,0,0,1,0,0,0,0,0,0.03703703704,0,0,0,0.03703703704,62477716,Allow all users (no expiry set),18842,1 December 2019,Sammdidamm,36,0,2019-12-01,2019-12,2019
841,Resource Management Act 1991,https://en.wikipedia.org/wiki/Resource_Management_Act_1991,69,0,22,12,0,0,0,0,0.3188405797,0.1739130435,0,0,0,0.4927536232,1483593,Allow all users (no expiry set),49334,9 February 2005,Alan Liefting,408,0,2005-02-09,2005-02,2005
842,Symphony of Science,https://en.wikipedia.org/wiki/Symphony_of_Science,32,0,2,0,0,23,0,1,0.0625,0,0.71875,0,0,0.0625,24818668,Allow all users (no expiry set),31341,25 October 2009,Viriditas,453,1,2009-10-25,2009-10,2009
843,Biosequestration,https://en.wikipedia.org/wiki/Biosequestration,75,24,8,2,2,7,0,0,0.1066666667,0.02666666667,0.09333333333,0.32,0.02666666667,0.48,24603722,Allow all users (no expiry set),49203,7 October 2009,Leaf82,379,1,2009-10-07,2009-10,2009
844,Pygmy mammoth,https://en.wikipedia.org/wiki/Pygmy_mammoth,29,8,2,2,0,1,0,0,0.06896551724,0.06896551724,0.03448275862,0.275862069,0,0.4137931034,1557373,Allow all users (no expiry set),18354,1 March 2005,Nereocystis,359,0,2005-03-01,2005-03,2005
845,Roger Revelle,https://en.wikipedia.org/wiki/Roger_Revelle,24,2,7,1,0,7,0,0,0.2916666667,0.04166666667,0.2916666667,0.08333333333,0,0.4166666667,2296257,Allow all users (no expiry set),25304,23 July 2005,66.159.231.84,364,1,2005-07-23,2005-07,2005
846,Drainage density,https://en.wikipedia.org/wiki/Drainage_density,13,9,0,0,0,0,0,0,0,0,0,0.6923076923,0,0.6923076923,3111575,Allow all users (no expiry set),32079,8 November 2005,Abdt371,111,0,2005-11-08,2005-11,2005
847,Solomon Hsiang,https://en.wikipedia.org/wiki/Solomon_Hsiang,37,13,10,3,0,7,0,0,0.2702702703,0.08108108108,0.1891891892,0.3513513514,0,0.7027027027,66874619,Allow all users (no expiry set),17047,23 February 2021,125.224.139.102,22,0,2021-02-23,2021-02,2021
848,Political positions of Ted Cruz,https://en.wikipedia.org/wiki/Political_positions_of_Ted_Cruz,148,0,14,7,0,126,0,2,0.09459459459,0.0472972973,0.8513513514,0,0,0.1418918919,39307174,Allow all users (no expiry set),76959,5 May 2013,Sgt. R.K. Blue,244,0,2013-05-05,2013-05,2013
849,Tragedy of the commons,https://en.wikipedia.org/wiki/Tragedy_of_the_commons,202,137,14,0,0,16,0,0,0.06930693069,0,0.07920792079,0.6782178218,0,0.7475247525,30802,Allow all users (no expiry set),113900,30 September 2001,John Lynch,2672,7,2001-09-30,2001-09,2001
850,Ian Plimer,https://en.wikipedia.org/wiki/Ian_Plimer,102,15,12,3,0,39,0,6,0.1176470588,0.02941176471,0.3823529412,0.1470588235,0,0.2941176471,4234005,Allow all users (no expiry set),46278,1 March 2006,Ashmoo,1251,2,2006-03-01,2006-03,2006
851,Pauline Hanson's One Nation,https://en.wikipedia.org/wiki/Pauline_Hanson%27s_One_Nation,116,7,17,7,0,46,0,8,0.1465517241,0.06034482759,0.3965517241,0.06034482759,0,0.2672413793,83013,Allow all users (no expiry set),86839,10 September 2002,131.181.127.33,2123,25,2002-09-10,2002-09,2002
852,Nir Shaviv,https://en.wikipedia.org/wiki/Nir_Shaviv,36,9,6,0,0,10,0,0,0.1666666667,0,0.2777777778,0.25,0,0.4166666667,10072598,Allow all users (no expiry set),22697,15 March 2007,Lumidek,248,0,2007-03-15,2007-03,2007
853,Colony collapse disorder,https://en.wikipedia.org/wiki/Colony_collapse_disorder,210,64,20,16,0,58,0,4,0.09523809524,0.07619047619,0.2761904762,0.3047619048,0,0.4761904762,20610449,Require administrator access (no expiry set),138624,10 February 2007,Anlace,3729,1,2007-02-10,2007-02,2007
854,Energy poverty,https://en.wikipedia.org/wiki/Energy_poverty,42,24,9,0,0,2,0,0,0.2142857143,0,0.04761904762,0.5714285714,0,0.7857142857,8856894,Allow all users (no expiry set),49618,10 January 2007,Gralo,208,34,2007-01-10,2007-01,2007
855,Environmental impact of hydraulic fracturing,https://en.wikipedia.org/wiki/Environmental_impact_of_hydraulic_fracturing,127,32,17,17,0,27,0,0,0.1338582677,0.1338582677,0.2125984252,0.2519685039,0,0.5196850394,35494376,Allow all users (no expiry set),81062,14 April 2012,Beagel,751,0,2012-04-14,2012-04,2012
856,Bactrocera tryoni,https://en.wikipedia.org/wiki/Bactrocera_tryoni,27,22,1,1,0,0,0,0,0.03703703704,0.03703703704,0,0.8148148148,0,0.8888888889,2860343,Allow all users (no expiry set),27326,8 October 2005,211.30.225.83,112,0,2005-10-08,2005-10,2005
857,Microbiology of oxygen minimum zones,https://en.wikipedia.org/wiki/Microbiology_of_oxygen_minimum_zones,35,26,0,0,0,1,0,0,0,0,0.02857142857,0.7428571429,0,0.7428571429,58708458,Allow all users (no expiry set),28149,9 October 2018,Aeking104,78,0,2018-10-09,2018-10,2018
858,Václav Klaus,https://en.wikipedia.org/wiki/V%C3%A1clav_Klaus,98,0,9,0,0,29,0,1,0.09183673469,0,0.2959183673,0,0,0.09183673469,303222,Allow all users (no expiry set),70981,23 August 2003,194.149.102.92,1894,9,2003-08-23,2003-08,2003
859,Environmental communication,https://en.wikipedia.org/wiki/Environmental_communication,21,9,2,0,0,2,0,0,0.09523809524,0,0.09523809524,0.4285714286,0,0.5238095238,6199140,Allow all users (no expiry set),20961,31 July 2006,Hayduke lives,240,0,2006-07-31,2006-07,2006
860,Ecocide,https://en.wikipedia.org/wiki/Ecocide,88,0,27,0,0,11,0,6,0.3068181818,0,0.125,0,0,0.3068181818,14513725,Allow all users (no expiry set),42930,1 December 2007,Veganmolotov,558,2,2007-12-01,2007-12,2007
861,Manitoba Eco-Network,https://en.wikipedia.org/wiki/Manitoba_Eco-Network,28,0,23,0,0,1,0,0,0.8214285714,0,0.03571428571,0,0,0.8214285714,3000701,Allow all users (no expiry set),20023,26 October 2005,Josephprymak,78,0,2005-10-26,2005-10,2005
862,Synchronous flowering,https://en.wikipedia.org/wiki/Synchronous_flowering,45,41,0,0,0,0,0,0,0,0,0,0.9111111111,0,0.9111111111,43803206,Allow all users (no expiry set),35677,12 September 2014,FloraWilde,31,0,2014-09-12,2014-09,2014
863,Maldives and the World Bank,https://en.wikipedia.org/wiki/Maldives_and_the_World_Bank,20,6,9,1,0,2,0,0,0.45,0.05,0.1,0.3,0,0.8,62488124,Allow all users (no expiry set),11014,3 December 2019,Spmacdon,11,1,2019-12-03,2019-12,2019
864,Mesopotamian Marshes,https://en.wikipedia.org/wiki/Mesopotamian_Marshes,39,6,5,1,0,9,0,2,0.1282051282,0.02564102564,0.2307692308,0.1538461538,0,0.3076923077,11210192,Allow all users (no expiry set),31747,13 May 2007,Gustave Homerton,316,0,2007-05-13,2007-05,2007
865,Environment of Tennessee,https://en.wikipedia.org/wiki/Environment_of_Tennessee,5,0,1,4,0,0,0,0,0.2,0.8,0,0,0,1,18489776,Allow all users (no expiry set),4875,18 July 2008,Mac,43,1,2008-07-18,2008-07,2008
866,WASH,https://en.wikipedia.org/wiki/WASH,103,22,56,1,0,0,0,0,0.5436893204,0.009708737864,0,0.213592233,0,0.7669902913,30777141,Allow all users (no expiry set),76033,7 February 2011,Chriswaterguy,608,0,2011-02-07,2011-02,2011
867,Subantarctic,https://en.wikipedia.org/wiki/Subantarctic,32,5,2,7,0,4,0,0,0.0625,0.21875,0.125,0.15625,0,0.4375,9969628,Allow all users (no expiry set),45860,10 March 2007,Lord of Shalott,273,2,2007-03-10,2007-03,2007
868,"Lynedoch, Ontario","https://en.wikipedia.org/wiki/Lynedoch,_Ontario",8,1,0,1,0,1,0,0,0,0.125,0.125,0.125,0,0.25,4956671,Allow all users (no expiry set),4726,30 April 2006,GVnayR,44,0,2006-04-30,2006-04,2006
869,Jim Mattis,https://en.wikipedia.org/wiki/Jim_Mattis,190,0,16,9,0,142,0,2,0.08421052632,0.04736842105,0.7473684211,0,0,0.1315789474,1470176,Allow all users (no expiry set),117024,5 February 2005,David Newton,2800,2,2005-02-05,2005-02,2005
870,Morrison government,https://en.wikipedia.org/wiki/Morrison_government,300,1,2,21,0,129,0,64,0.006666666667,0.07,0.43,0.003333333333,0,0.08,58252952,Allow all users (no expiry set),179181,24 August 2018,This is Paul,533,17,2018-08-24,2018-08,2018
871,Environmental issues in China,https://en.wikipedia.org/wiki/Environmental_issues_in_China,122,7,29,4,0,51,0,7,0.237704918,0.03278688525,0.4180327869,0.05737704918,0,0.3278688525,9534775,Allow all users (no expiry set),85671,16 February 2007,Heroeswithmetaphors,518,2,2007-02-16,2007-02,2007
872,Migration studies,https://en.wikipedia.org/wiki/Migration_studies,111,2,7,1,0,17,0,0,0.06306306306,0.009009009009,0.1531531532,0.01801801802,0,0.09009009009,34170123,Allow all users (no expiry set),48230,23 December 2011,Hazaraid,243,2,2011-12-23,2011-12,2011
873,Coccolithophore,https://en.wikipedia.org/wiki/Coccolithophore,107,80,4,0,0,3,0,0,0.03738317757,0,0.02803738318,0.7476635514,0,0.785046729,47520,Allow all users (no expiry set),86108,3 April 2002,Mav,459,1,2002-04-03,2002-04,2002
874,Oceanic freshwater flux,https://en.wikipedia.org/wiki/Oceanic_freshwater_flux,25,18,0,0,0,0,0,0,0,0,0,0.72,0,0.72,70383921,Allow all users (no expiry set),36301,24 March 2022,Sara Filippini 98,61,27,2022-03-24,2022-03,2022
875,Farmworker,https://en.wikipedia.org/wiki/Farmworker,108,10,30,26,0,16,0,0,0.2777777778,0.2407407407,0.1481481481,0.09259259259,0,0.6111111111,10721543,Allow all users (no expiry set),68841,17 April 2007,Calliopejen1,351,1,2007-04-17,2007-04,2007
876,South Park controversies,https://en.wikipedia.org/wiki/South_Park_controversies,103,0,9,0,0,62,0,1,0.08737864078,0,0.6019417476,0,0,0.08737864078,11327862,Allow all users (no expiry set),62890,20 May 2007,Hmwith,945,1,2007-05-20,2007-05,2007
877,Petroleum industry in Western Australia,https://en.wikipedia.org/wiki/Petroleum_industry_in_Western_Australia,39,0,2,28,0,8,0,0,0.05128205128,0.7179487179,0.2051282051,0,0,0.7692307692,19286133,Allow all users (no expiry set),30336,12 September 2008,Glen Dillon,133,0,2008-09-12,2008-09,2008
878,Carl Wunsch,https://en.wikipedia.org/wiki/Carl_Wunsch,5,0,3,0,0,0,0,0,0.6,0,0,0,0,0.6,9992652,Allow all users (no expiry set),4877,11 March 2007,William M. Connolley,87,0,2007-03-11,2007-03,2007
879,Air pollution in Turkey,https://en.wikipedia.org/wiki/Air_pollution_in_Turkey,116,18,31,10,1,29,0,3,0.2672413793,0.08620689655,0.25,0.1551724138,0.008620689655,0.5172413793,43248345,Allow all users (no expiry set),73006,8 July 2014,Jarble,487,8,2014-07-08,2014-07,2014
880,Tammy Baldwin,https://en.wikipedia.org/wiki/Tammy_Baldwin,151,1,10,15,0,119,0,0,0.06622516556,0.09933774834,0.7880794702,0.006622516556,0,0.1721854305,409034,Allow all users (no expiry set),97377,20 December 2003,Danny,1247,1,2003-12-20,2003-12,2003
881,Electricity sector in Mexico,https://en.wikipedia.org/wiki/Electricity_sector_in_Mexico,45,0,10,1,0,9,0,0,0.2222222222,0.02222222222,0.2,0,0,0.2444444444,13536962,Allow all users (no expiry set),74873,2 October 2007,Amateos,395,0,2007-10-02,2007-10,2007
882,Nordic Genetic Resource Center,https://en.wikipedia.org/wiki/Nordic_Genetic_Resource_Center,2,0,2,0,0,0,0,0,1,0,0,0,0,1,49736839,Allow all users (no expiry set),5148,11 March 2016,Pandelver,34,0,2016-03-11,2016-03,2016
883,Torreya Guardians,https://en.wikipedia.org/wiki/Torreya_Guardians,69,18,12,6,0,11,0,15,0.1739130435,0.08695652174,0.1594202899,0.2608695652,0,0.5217391304,68458542,Allow all users (no expiry set),43934,12 August 2021,Mottezen,240,2,2021-08-12,2021-08,2021
884,Feminization of poverty,https://en.wikipedia.org/wiki/Feminization_of_poverty,112,55,18,5,0,5,0,0,0.1607142857,0.04464285714,0.04464285714,0.4910714286,0,0.6964285714,2017420,Allow all users (no expiry set),94783,10 June 2005,24.121.33.54,675,5,2005-06-10,2005-06,2005
885,Asylum in the United States,https://en.wikipedia.org/wiki/Asylum_in_the_United_States,110,16,36,23,0,15,0,0,0.3272727273,0.2090909091,0.1363636364,0.1454545455,0,0.6818181818,7195971,Allow all users (no expiry set),84409,28 September 2006,Renamed user ixgysjijel,572,2,2006-09-28,2006-09,2006
886,Ishfaq Ahmad Khan,https://en.wikipedia.org/wiki/Ishfaq_Ahmad_Khan,42,3,7,1,0,15,0,0,0.1666666667,0.02380952381,0.3571428571,0.07142857143,0,0.2619047619,5021154,Allow all users (no expiry set),44444,5 May 2006,Siddiqui,874,0,2006-05-05,2006-05,2006
887,Agulhas Leakage,https://en.wikipedia.org/wiki/Agulhas_Leakage,21,20,0,0,0,0,0,0,0,0,0,0.9523809524,0,0.9523809524,70333148,Allow all users (no expiry set),16709,17 March 2022,Ezygarlowska,67,6,2022-03-17,2022-03,2022
888,Polygonia c-album,https://en.wikipedia.org/wiki/Polygonia_c-album,29,19,2,0,0,4,0,0,0.06896551724,0,0.1379310345,0.6551724138,0,0.724137931,1626603,Allow all users (no expiry set),33537,20 March 2005,Zeimusu,282,0,2005-03-20,2005-03,2005
889,Environment of China,https://en.wikipedia.org/wiki/Environment_of_China,6,0,0,0,0,5,0,0,0,0,0.8333333333,0,0,0,277898,Allow all users (no expiry set),5726,26 July 2003,Jiang,1126,6,2003-07-26,2003-07,2003
890,Political positions of Jeb Bush,https://en.wikipedia.org/wiki/Political_positions_of_Jeb_Bush,327,0,29,1,0,287,0,10,0.08868501529,0.003058103976,0.877675841,0,0,0.09174311927,46390187,Allow all users (no expiry set),170051,12 April 2015,PrairieKid,881,1,2015-04-12,2015-04,2015
891,Toxoplasmosis,https://en.wikipedia.org/wiki/Toxoplasmosis,170,118,7,15,0,20,0,1,0.04117647059,0.08823529412,0.1176470588,0.6941176471,0,0.8235294118,73592,Allow all users (no expiry set),132045,20 August 2002,213.224.83.86,2304,4,2002-08-20,2002-08,2002
892,Deforestation in the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Deforestation_in_the_Democratic_Republic_of_the_Congo,49,4,22,1,0,11,0,0,0.4489795918,0.02040816327,0.2244897959,0.08163265306,0,0.5510204082,35207251,Allow all users (no expiry set),46849,24 March 2012,Kyleand,319,0,2012-03-24,2012-03,2012
893,The Washington Times,https://en.wikipedia.org/wiki/The_Washington_Times,190,9,35,4,0,124,0,1,0.1842105263,0.02105263158,0.6526315789,0.04736842105,0,0.2526315789,31399,Allow all users (no expiry set),131447,27 December 2001,65.96.132.xxx,2929,1,2001-12-27,2001-12,2001
894,Hunger in Bangladesh,https://en.wikipedia.org/wiki/Hunger_in_Bangladesh,30,7,15,0,0,1,0,0,0.5,0,0.03333333333,0.2333333333,0,0.7333333333,59412555,Allow all users (no expiry set),24857,17 December 2018,Moxy,74,0,2018-12-17,2018-12,2018
895,Human rights in Ireland,https://en.wikipedia.org/wiki/Human_rights_in_Ireland,22,0,0,2,0,6,0,0,0,0.09090909091,0.2727272727,0,0,0.09090909091,58413532,Allow all users (no expiry set),18892,6 September 2018,Gtyn8856,52,0,2018-09-06,2018-09,2018
896,Alpine vegetation of Tasmania,https://en.wikipedia.org/wiki/Alpine_vegetation_of_Tasmania,19,0,0,0,0,0,0,0,0,0,0,0,0,0,38776523,Allow all users (no expiry set),21293,11 March 2013,Lachlan.00,27,0,2013-03-11,2013-03,2013
897,Freshwater shoreline management,https://en.wikipedia.org/wiki/Freshwater_shoreline_management,17,8,2,0,0,0,0,0,0.1176470588,0,0,0.4705882353,0,0.5882352941,67368474,Allow all users (no expiry set),10531,11 April 2021,Mantifa12345,32,1,2021-04-11,2021-04,2021
898,Ecology of Florida,https://en.wikipedia.org/wiki/Ecology_of_Florida,24,3,6,0,0,6,0,0,0.25,0,0.25,0.125,0,0.375,33618768,Allow all users (no expiry set),30786,2 November 2011,Heckcory,213,0,2011-11-02,2011-11,2011
899,Malaria,https://en.wikipedia.org/wiki/Malaria,312,196,16,11,0,31,0,1,0.05128205128,0.03525641026,0.09935897436,0.6282051282,0,0.7147435897,20423,Require administrator access (no expiry set),200713,30 October 2001,Ddroar,6577,48,2001-10-30,2001-10,2001
900,Sable Island,https://en.wikipedia.org/wiki/Sable_Island,71,0,5,3,0,15,0,0,0.07042253521,0.04225352113,0.2112676056,0,0,0.1126760563,62361,Allow all users (no expiry set),53394,16 July 2002,Caltrop,1125,2,2002-07-16,2002-07,2002
901,Potato,https://en.wikipedia.org/wiki/Potato,123,25,23,6,0,32,0,0,0.1869918699,0.0487804878,0.2601626016,0.2032520325,0,0.4390243902,23501,Allow all users (no expiry set),119381,6 October 2001,Rmhermen,6234,12,2001-10-06,2001-10,2001
902,Environmental governance in Brazil,https://en.wikipedia.org/wiki/Environmental_governance_in_Brazil,27,10,2,3,0,7,0,0,0.07407407407,0.1111111111,0.2592592593,0.3703703704,0,0.5555555556,31836847,Allow all users (no expiry set),25084,20 May 2011,Joao Dyer,52,2,2011-05-20,2011-05,2011
903,Critical realism (philosophy of the social sciences),https://en.wikipedia.org/wiki/Critical_realism_(philosophy_of_the_social_sciences),59,26,2,0,0,3,0,1,0.03389830508,0,0.05084745763,0.4406779661,0,0.4745762712,40341198,Allow all users (no expiry set),51674,24 August 2013,Omicron18,122,0,2013-08-24,2013-08,2013
904,Tony Abbott,https://en.wikipedia.org/wiki/Tony_Abbott,321,2,5,17,0,175,0,22,0.01557632399,0.05295950156,0.5451713396,0.006230529595,0,0.07476635514,556739,Require administrator access (no expiry set),169010,27 March 2004,Adam Carr,4008,4,2004-03-27,2004-03,2004
905,Apalachicola Bay,https://en.wikipedia.org/wiki/Apalachicola_Bay,15,7,1,3,0,2,0,0,0.06666666667,0.2,0.1333333333,0.4666666667,0,0.7333333333,4016809,Allow all users (no expiry set),14963,9 February 2006,Noles1984,88,0,2006-02-09,2006-02,2006
906,55th Munich Security Conference,https://en.wikipedia.org/wiki/55th_Munich_Security_Conference,27,0,0,0,0,5,0,0,0,0,0.1851851852,0,0,0,65230691,Allow all users (no expiry set),19311,5 September 2020,Kiwipete,11,0,2020-09-05,2020-09,2020
